sentenceA	sentenceB	label
"Hallo all e zusammen. Mein Virenprogramm AntiVir hat ein Trojanisches Pferd in meinem System entdeckt. Es
            fragt mich was ich damit machen will und wenn ich auf löschen klicke erscheint es das nächste Mal wieder.
            Auch wenn ich andere kostenlose Virenprogramme benutze, finde ich den Trojaner zwar, aber in diesem Moment
            kommt wieder dieses Fenster von AntiVir und fragt mich was ich damit machen will. Dann drücke ich löschen
            und das Virenprgramm sucht normal weiter, ohne den Trojaner zu beachten. Wer kann mir sagen wie ich diesen
            Trojaner löschen kann? Wo er ist weiß ich ja schon. Vielen Dank im Voraus Pedro
        "	Ich habe Schwierigkeiten mit der Festplatte bei hohen Temperaturen und Auslastungen.	contradiction
"Hallo all e zusammen. Mein Virenprogramm AntiVir hat ein Trojanisches Pferd in meinem System entdeckt. Es
            fragt mich was ich damit machen will und wenn ich auf löschen klicke erscheint es das nächste Mal wieder.
            Auch wenn ich andere kostenlose Virenprogramme benutze, finde ich den Trojaner zwar, aber in diesem Moment
            kommt wieder dieses Fenster von AntiVir und fragt mich was ich damit machen will. Dann drücke ich löschen
            und das Virenprgramm sucht normal weiter, ohne den Trojaner zu beachten. Wer kann mir sagen wie ich diesen
            Trojaner löschen kann? Wo er ist weiß ich ja schon. Vielen Dank im Voraus Pedro
        "	"Wird die Hard Disk mit dem Programm Kaspersky gescannt, können die Fehler Blue Screen 77 und 77a beseitigt
            werden.
        "	contradiction
Die Hauptfiguren im Bush-Büro des Weißen Hauses waren die Nationale Sicherheitsberaterin Condoleezza Rice, die Mitglied des NSC-Stabs in der Administration von George H.W. gewesen ist.	Condoleezza Rice war eine relativ unbekannte Person in Bushs Pesobal.	contradiction
Ich versuchte, alles zu notieren.	Ich habe mir nicht die Mühe gemacht, etwas aufzuschreiben.	contradiction
Sie war bereits gegangen und sagte mir, ich solle mir keine Sorgen darüber machen.	Sie sagte, ich sollte einfach davon ausgehen, dass es der Schule gut gehen würde.	neutral
"CPU:Intel Q6600 Board:ASUS maximus extreme Ram:1gb osx Fp:Westerndigital 160gb s-ata Gk:Geforce 8800GTX
            Windows XP PS3 Ich habe heute alles zusammengebaut, aber aheb folgende probleme... 1.Der PC brauch ca
            5-10min zum booten. 2.Nach dem Starten hängt der pc sich ständig auf. 3.Bei dem Prog Pobre2 wird angezeigt
            der die Dram & Dram ref zu niedrig sind 4.beim booten wird ''Pri Master Hard Disk : S.M.A.R.T. Status
            BAD, Backup and Replace Press F1 to Resume.'' wenn ich denn F1 drücke fährt der pc weiter hoch. MFG (bitte
            um schnelle antwort)
        "	Beim Defragmentieren des Computers stürtzt dieser ab.	contradiction
mhm das stimmt es ist es ist nicht wirklich äh konsistent	Ich glaube du hast Recht über diese Konsistenz.	neutral
"Hallo all e zusammen. Mein Virenprogramm AntiVir hat ein Trojanisches Pferd in meinem System entdeckt. Es
            fragt mich was ich damit machen will und wenn ich auf löschen klicke erscheint es das nächste Mal wieder.
            Auch wenn ich andere kostenlose Virenprogramme benutze, finde ich den Trojaner zwar, aber in diesem Moment
            kommt wieder dieses Fenster von AntiVir und fragt mich was ich damit machen will. Dann drücke ich löschen
            und das Virenprgramm sucht normal weiter, ohne den Trojaner zu beachten. Wer kann mir sagen wie ich diesen
            Trojaner löschen kann? Wo er ist weiß ich ja schon. Vielen Dank im Voraus Pedro
        "	BIOS kann per nvidia unter windows nicht geupdatet werden.	contradiction
"Kann mir mal jemand erklären, wie das gehen soll z.B. Computer (RAM-Speicher) max EUR 6,00 Software
            (Virenschutz & Datensicherheit) max EUR 5,00 Audio & Hi-Fi (Kopfhörer) max EUR 6,00 wenn aber bei
            der Post der Versand per DHL (versichert) schon EUR 7,- kostet? Da zahlt also der Verkäufer allein an
            Portokosten an DHL mehr als der Käufer an ihn bezahlen muss? Von Kosten für den Weg zur Post (bei den
            heutigen Spritpreisen ja vernachlässigbar), Kosten für die Verpackung (Kartonage, Polstermaterial, Kleber) +
            Kosten, Zeit und Mühen für die Verpackerei ganz zu schweigen
        "	Ich kann einen Virus mit dem Namen Virtumonde nicht löschen.	contradiction
Und es war als ob sie ablehnte wer sie war, in gewisser Weise, so, weisst du, wie sie dich behandelt hat, wie die andern Enkelkinder.	Sie behandelt alle genauso.	contradiction
Warte! Blut befahl ihn, unterbrach ihn und er legte eine Hand auf den Arm des Schützen.	Blood erlaubte dem Schützen fortzufahren mit dem, was er zu sagen hatte.	contradiction
Und doch, heute ist die allgemeine Annahme, dass unsere Beamten mit einer genauen rassischen und ethnischen Karte der amerikanischen Nation vertraut werden können.	Die Annahme, dass Beamte rassistische und ethnische Vorurteile haben ist falsch.	neutral
"Hallo PC-Freunde, ich habe letzte Woche XP neu installiert. Heute ist mir aufgefallen das die CPU-Auslastung
            immer zwischen 60% und 80% liegt obwohl im Taskmanager der Lerlaufprozess mit 90-99% angezeigt wird. Kann es
            vieleicht sein das im Taskmanager nicht alle Programme erfasst werden(währe mir neu) oder könnte vieleicht
            ein Virus, Trojaner sein der diese ununterbrochen hohe Auslastung bewirkt? Vobei mein Antivirusprogramm
            (Awast) keinen Virus oder ähnliches erkennt. Kann mir da vieleicht jemand helfen voran das liegen kann. Gruß
            Micha
        "	Ich möchte einen Trojaner löschen.	contradiction
"Kann mir mal jemand erklären, wie das gehen soll z.B. Computer (RAM-Speicher) max EUR 6,00 Software
            (Virenschutz & Datensicherheit) max EUR 5,00 Audio & Hi-Fi (Kopfhörer) max EUR 6,00 wenn aber bei
            der Post der Versand per DHL (versichert) schon EUR 7,- kostet? Da zahlt also der Verkäufer allein an
            Portokosten an DHL mehr als der Käufer an ihn bezahlen muss? Von Kosten für den Weg zur Post (bei den
            heutigen Spritpreisen ja vernachlässigbar), Kosten für die Verpackung (Kartonage, Polstermaterial, Kleber) +
            Kosten, Zeit und Mühen für die Verpackerei ganz zu schweigen
        "	Der Virtumonde-Virus kann nicht gelöscht werden.	contradiction
"hallo liebe mods, ich schreibe diesen beitrag extra in die mainboard kategorie, weil heute schon 4 mal beim
            aufrufen des p5q deluxe-sammelthreads mein trendmicro virenscanner angeschlagen hat! er meldete folgen
            virus: TSPY_ONLINEG.FXG laut trendmicro wird versucht, den virus über '' gehackte '' webseiten
            einzuschleusen... nachzulesen hier: (URL) könnt ihr mal der sache auf den grund gehen? viele grüsse t.
        "	Bei der Defragmentierung meines Rechners stürzt dieser ab.	contradiction
Vorsitzender des Kuratoriums.	Die langjährige Vorsitzende des Kuratoriums.	neutral
Pitt, welcher der Szene von der Viertel-Deck-Schiene zugeschaut hat, erzählt uns, dass seine Lordschaft so schwer war wie ein Pfarrer bei einer Hinrichtung	Pitt hat mitbekommen, wie ernst seine Lordschaft während der Szene war.	entailment
Durch sie sind wir in dieser Falle, Ogle stürmte weiter.	Ogle dachte, dass ihr schlechter Zustand ihre Schuld war.	entailment
"Hallo Leute! Ich habe mir vor ein paar Tagen einen neuen PC gekauft. Hier einmal die Daten: Intel Core 2 Quad
            Q6600 4* 2,40 GhZ ASUS P5N-D Motherboard Geforce 9600 GT SLI 4 GB Ram Windows Vista 64 Bit und falls auch
            relevant: Kasoersky Internet Security 7.0 So und jetzt zu meinem Problem. Ich bin am Desktop und schau auf
            die Prozessorauslastung und bei allen 4 Kernen sind 2 Stellige Prozentbereiche obwohl ich nichts mache, ich
            bin nur am Desktop. Im Moment waren es gerade bei allen 4 Kernen mehr als 30% Egal was ich mache es ist nur
            am Stocken, selbst wenn ich nen Ordner öffne. So ich bitte um eure Hilfe und zahlreiche Antworten. MFG Sylar
        "	"Meinen Computer benötig für das Hochfahren sehr lange und zeigt mir dann eine Meldung für einen Fehler an.
        "	contradiction
"Hallo zusammen, Ich habe mir gestern ein paar Programme(OpenOffice, TuneUp,....) heruntergeladen, dann
            schalte ich den Computer aus. Heute am Morgen sehe ich eine Datei auf meinem Desktop, mit Namen
            dfljsdjfldjsfsdf.dll.exe , ich wollte sie löschen, aber ging nicht. So nach 3 Stunden sagte Avira plötzlich
            es sei ein TR/Dldr.Zlob.gzy Nun kann ich die Datei weder mit Avira noch selbständig löschen..... Nun brauche
            ich wieder mal eure Hilfe LG Crusader
        "	Bei der Installation eines neuen BIOS auf meiner Grafikkarte taucht unerwartet eine Schwierigkeit auf.	contradiction
27 Der Schwierigkeitsgrad erhöht sich, da sich das Ausmaß der Boilermodifikationen erhöht, die für die Installation des SCR in der Einrichtung notwendig sind.	26 Schwierigkeit ist unabhängig von Modifikationen.	contradiction
"Es gibt bei m ir zwei Probleme bei der Ausführung des Tools unter Vista. 1) Vista blockiert die Ausführung
            mit dem Kommentar '' ...Sie verfügen eventuell nicht über ausreichende Berechtigungen... '' und 2) F-Secure
            gibt eine Malware-Warnung aus '' W32/Suspicious_U.gen '' Virus. Ist die Viruswarnung nur ein Fehlalarm? Wie
            umgehe ich die Blockierung durch Vista? Kann da jemand helfen? (URL)
        "	Es wird bei einem BIOS-Update ein Fehler gemeldet.	contradiction
"System Error Fixer bietet ein Spywareprogramm an, es öffnen sich unerwünschte Seiten auf dem Mozilla Firefox
            Browser, z.B. QUELLE.de , aber auch Handy- und sogar Sex-Seiten. Habe diese Probleme seit ca. 2 Wochen;
            gestern große Reinigungsaktion gestartet: 1. Ad-Aware, 2. SpyBot-S & D, 3. Bit-Defender, 4. Stinger, und
            jetzt bin ich beim HiJackThis angekommen. Kann mit den Log-Files nichts anfangen , werde sie versuchen zu
            posten und hoffe sehr auf Hilfe. Danke schon mal im Voraus! Logfile of Trend Micro HijackThis v2.0.2 [edit]
            bitte editiere zukünftig deine links, wie es dir u.a. hier angezeigt wird: Aktive Links und persönliche
            Informationen in HJT Log-Files danke GUA [LinkImg:(URL) [/edit]
        "	Schwierigkeiten mit einer zu großen Auslastung der CPU unter Windows Vista 64bit.	contradiction
"Hallo , da mein Pc (4200+ x², 4 Gb Ram) mit dem Catalyst 8.6 beim Starten oft Bluescreens verursachte, wollte
            ich mit dem @bios tool das f5 bios aufspielen. dabei brach das programm mit '' alloc kernel memory failure
            '' ab. ich habe darauf nod32 vollständig runtergeschmissen. (soll wohl das flashen nicht erlauben) nun lief
            das programm einmal langsam bis auf 100%, er hat also etwas geflasht. nach erreichen der 100% kommt nun
            selbiger fehler wie oben, sodass ich im moment etwas angst habe, den rechner neu zustarten. könnt ihr mir
            einen tip geben, was ich nun tun soll? mfg
        "	"Nach dem Start des Betriebssystems Windows auf meinem ASUS P5Q kann ich die USB-Anschlüsse nicht mehr
            nutzen.
        "	contradiction
Es ist nur so, dass mein Geld jetzt knapp ist, und ich führe mich nicht einmal in Versuchung	Ich habe nur 20$ bis zum Zahltag.	neutral
Dieses Ereignis wird am 14-15 August wiederholt.	Es passiert wieder am Dienstag, 15 August.	neutral
1972 hat Philipp Morris, Inc.'s Miller Brewing Co. bei der Übernahme der Meister Brau Inc. das Label Lite beer erworben.	Phillip Morris, Inc.'s Miller Brewing Co. wollte das Lite Beer Label bei der Übernahme von Meister Brau Inc. nicht haben, also stellten sie die Produktion ein.	contradiction
Wie? Sie fragte ihn mit einem plötzlich verwunderten Interesse.	Sie fragte wie, weil es aus ihrer Perspektive unmöglich schien.	neutral
"Hi, mich macht das EZ Backup und Raid Zeug ganz wirr ;-) Hab Sata 1, 3 und 4 belegt. Kann ich da nun noch
            eine 4. Sata Platte anklemmen? Der Brenner auf Sata 4 läuft auf Slave, für ein Firmwareupdate sollte er aber
            auf (Secondary) Master laufen, was macht man da? Danke Gruß Blondy
        "	"Auch nach der Datensicherung ist es nicht möglich im Microsoft Windows mit Nvidia-Software das BIOS
            einzurichten.
        "	contradiction
"Hallo, habe mir ein Asus P5Q geholt und am Anfang lief alles prima. Hab mir direkt ausm Netz von der Asus
            Seite die neusten Chipsatztreiber geholt und installiert. Nach dem reboot sind die USB-Ports wie tot Beim
            hochfahren gehen sie, sprich Hardwaredefekt liegt keiner vor. Sobald der Windowsladebildschirm kommt. Geht
            die Maus aus und nichts geht mehr. Hab dann mit der Tastatur mal im Hardwaremanager geguckt und siehe da bei
            USB-Port-Hub sind überall Ausrufungszeichen. Wenn ich dann von dann die USB Treiber manuell installieren
            will steht nur da. Sie haben WinXP SP2 sie brauchen diese Treiber nicht. System: Asus P5Q E8400 Ati 3850 2
            GB G-Data Vitesta Ram Hoffe jemand kann mir da helfen. Vielen Dank im vorarus!
        "	Befindet sich der Computer im Ruhezustand ist die Auslastung zu stark.	contradiction
Wie wir alle wissen, gibt es eine enorme Anzahl von Publikationen, die sich mit hochspezialisierten Bereichen befassen.	Es gibt eine Menge Tagebücher über wissenschaftliche Studien.	neutral
Aber bedenke Brot und Butter.	Denken Sie an Wonder Brot und Challenge Butter.	neutral
24 Diese Funktionen wären auch für die GMRA-Rechenschaftsberichte geeignet.	Diese Merkmale wären für GMRA-Rechenschaftsberichte völlig ungeeignet.	contradiction
Dubai, eine moderne Stadt mit guter Anbindung an einen großen Flughafen, Reisebüros, Hotels und westlichen kommerziellen Einrichtungen, war ein idealer Transitpunkt.	Dubai war ein praktischer Transitort.	entailment
Wir brauchen diese zusätzlichen Ressourcen, um unsere Bemühungen zur weiteren Stärkung des GAO fortzusetzen und eine Vorbildorganisation für den Rest der föderalen Regierungs- und Verantwortlichkeitsorganisationen auf der ganzen Welt zu sein.	Wir wollen, dass GAO auseinander fällt.	contradiction
Ich decke den gleichen Stoff ab.	Ich spreche über die gleichen Dinge über die sie auch gesprochen haben.	entailment
Mein Lieblingsbeispiel bleibt der Frosch und die Fliege.	Ich habe ein Lieblingsbeispiel.	entailment
Als Dank für Ihren Beitrag in Höhe von 100 $ oder mehr für die Kampagne werden Sie und ein Gast zu einem besonderen Empfang am Donnerstag, dem 23. März 2000, von 17.30 bis 20.00 Uhr in Herron Hall eingeladen.	Sie und ein Gast werden zu einem besonderen Empfang eingeladen, wenn Sie 100 $ oder mehr für die Kampagne spenden.	entailment
Wir haben anfängliche mathematische Modelle, welche einiges über diese hierarchische Organisation verdeutlichen. Doch auch die aktuellsten Modelle sind trotz ihrer Brillanz beschränkt.	Die jetzigen Modelle sind hervorragend aber begrenzt.	entailment
mit deinem TV-Gerät und du denkst, dass eine geeignete Strafe für TV-Diebstahl der Tod sei	Du denkst, dass die richtige Strafe für jemanden, der einen Fernseher stiehlt, der Tod ist.	entailment
"CPU:Intel Q6600 Board:ASUS maximus extreme Ram:1gb osx Fp:Westerndigital 160gb s-ata Gk:Geforce 8800GTX
            Windows XP PS3 Ich habe heute alles zusammengebaut, aber aheb folgende probleme... 1.Der PC brauch ca
            5-10min zum booten. 2.Nach dem Starten hängt der pc sich ständig auf. 3.Bei dem Prog Pobre2 wird angezeigt
            der die Dram & Dram ref zu niedrig sind 4.beim booten wird ''Pri Master Hard Disk : S.M.A.R.T. Status
            BAD, Backup and Replace Press F1 to Resume.'' wenn ich denn F1 drücke fährt der pc weiter hoch. MFG (bitte
            um schnelle antwort)
        "	Nach der Neuinstallation von Windows XP ist die Auslastung der CPU ungewöhnlich hoch.	contradiction
Ich bin der Gesandte seiner Majestät für diese barbarischen Gebiete und der nahe Verwandte meines Herrn Sunderland.	Ich nehme keine Anweisungen von seiner Majestät an.	contradiction
Sie können diese dll Dateien nicht löschen währen Windows läuft (was teil von Microsoft's Punkt ist).	Windows benötigt .dll-Dateien für verschiedene Programme, so dass das Löschen einer dieser Dateien sich auf viele Programme auswirken wird.	neutral
Unsere aggressiveren Befragten, drauf und dran ganze Werke anzuzetteln, übersahen Bücher und beschäftigten sich direkt mit den Autoren.	Leute, die geantwortet haben, sprachen über ihre Lieblingsautoren.	neutral
Die Fassade des Tempels von Ramses II ist eine der Langlebigsten Eindrücke aus Ägypten und auch wenn Sie vielleicht  schon einmal ein Bild gesehen haben, es ist atemberaubend in Natur.	Die Faaade war im Grab von König Tut.	contradiction
Die Antwort zu der Feminisierung der Kultur	Es gibt nur eine Antwort auf die Feminisierung der Kultur.	neutral
In Prinsengracht versteckten sich Otto Frank und seine Familie über zwei Jahre lang auf dem Dachboden ihrer Geschäftsräume, bevor sie entdeckt wurden.	Otto Frank versteckte sich für mehr als 25 Monate.	entailment
Sie sagt: Mach dir keine Sorgen, weißt du, nimm dir einfach Zeit.	Sie sagte mir, ich müsse mich sofort beeilen.	contradiction
Weißt Du, ich bin gestern in die Bibliothek gegangen, um mich umzusehen, und habe dieses neue Buch von PJ O'Rourke namens ähm ähm Parliament of Horrors gefunden und es geht um ähm	Ich habe gestern ein PJ O'Rourke-Buch aus der Bibliothek geholt.	entailment
"hi, Mein pc ist eigentlich ganz in ordung funkioniert ganz gut auser das wenn ich defragmentieren moechte, er
            immer obstuerzt, und von alleine wider hoch faehrt. Was kann ich tun damit ich defragmentieren kann ohne das
            es bei der haelfte ab stuertzt? und warum stuerzt er immer ab . habe auch schon einene wirenscan
            durchgenomen und er sagt das ich keinen virus oder so was habe. vielen lieben dank schon mal im vorraus
        "	ich möchte eine externe Festplatte von SATA und ein Laufwerk von Slave installieren.	contradiction
"Kann mir mal jemand erklären, wie das gehen soll z.B. Computer (RAM-Speicher) max EUR 6,00 Software
            (Virenschutz & Datensicherheit) max EUR 5,00 Audio & Hi-Fi (Kopfhörer) max EUR 6,00 wenn aber bei
            der Post der Versand per DHL (versichert) schon EUR 7,- kostet? Da zahlt also der Verkäufer allein an
            Portokosten an DHL mehr als der Käufer an ihn bezahlen muss? Von Kosten für den Weg zur Post (bei den
            heutigen Spritpreisen ja vernachlässigbar), Kosten für die Verpackung (Kartonage, Polstermaterial, Kleber) +
            Kosten, Zeit und Mühen für die Verpackerei ganz zu schweigen
        "	Das Starten meines Rechners dauert zu lange und ein Fehler wird gemeldet.	contradiction
Die Boston Globe hat eine schwer-treffliche vier teilige Serie über Harvard University publiziert.	Der Boston Globe schrieb über die Harvard University.	entailment
Und heute müssen wir auch Grund haben, die Gleichheit der Menschen als Grundideal der sozialen und politischen Gerechtigkeit ernst zu nehmen.	Unsere Nation ist auf den Grundlagen sozialer und politischer Gerechtigkeit gebaut.	neutral
Also war der Ehemann ihrer Schwester auch hellhäutig?	Ihre Schwester ist verheiratet.	entailment
"Hallo, ich habe Probleme mit dem Trojaner '' TR/Virtumod.WS '' . Antivir gibt mir circa alle 5 Minuten eine
            Trojanerwarnung, in der besagt wird, dass die Datei '' jkkjjgd.dll '' im System32-Ordner der besagte
            Trojaner ist. Löschen etc. hilft nicht. Der Trojaner bewirkt, dass sich ständig PopUps mit dem Internet
            Explorer öffnen, auch wenn die Seiten geblockt werden. Ich hoffe auf baldige Hilfe! MfG derknueppel
        "	Die Prozessorauslastung ist bei 100% und Antivirenprogramme funktionieren nicht.	contradiction
Außerhalb des Theaters gehen IRT Künstler direkt in die Klassenräume um mit Kindern zu arbeiten und sie auf persönlichere Art und Weise in die Welt des Theaters einzuführen.	IRT-Künstler helfen Kindern in den Schulen.	entailment
"hallo liebe mods, ich schreibe diesen beitrag extra in die mainboard kategorie, weil heute schon 4 mal beim
            aufrufen des p5q deluxe-sammelthreads mein trendmicro virenscanner angeschlagen hat! er meldete folgen
            virus: TSPY_ONLINEG.FXG laut trendmicro wird versucht, den virus über '' gehackte '' webseiten
            einzuschleusen... nachzulesen hier: (URL) könnt ihr mal der sache auf den grund gehen? viele grüsse t.
        "	Beim Aufrufen des p5q deluxe Sammelthreads bekomme ich eine Virenmeldung.	entailment
In die Debatten über die Rechte der Metzger in New Orleans vor dem Supreme Court, wurden der Begriff der Staatsbürgerschaft und ihre Privilegien zum Interessenvertreter für alle verbleibenden Sehnsüchte, um die Rechte der Nation auszudrücken.	Der Oberste Gerichtshof entschied gegen die Metzger.	neutral
"CPU:Intel Q6600 Board:ASUS maximus extreme Ram:1gb osx Fp:Westerndigital 160gb s-ata Gk:Geforce 8800GTX
            Windows XP PS3 Ich habe heute alles zusammengebaut, aber aheb folgende probleme... 1.Der PC brauch ca
            5-10min zum booten. 2.Nach dem Starten hängt der pc sich ständig auf. 3.Bei dem Prog Pobre2 wird angezeigt
            der die Dram & Dram ref zu niedrig sind 4.beim booten wird ''Pri Master Hard Disk : S.M.A.R.T. Status
            BAD, Backup and Replace Press F1 to Resume.'' wenn ich denn F1 drücke fährt der pc weiter hoch. MFG (bitte
            um schnelle antwort)
        "	Während des Hochfahrens des Rechners gab es Schwierigkeiten.	entailment
"Hallo all e zusammen. Mein Virenprogramm AntiVir hat ein Trojanisches Pferd in meinem System entdeckt. Es
            fragt mich was ich damit machen will und wenn ich auf löschen klicke erscheint es das nächste Mal wieder.
            Auch wenn ich andere kostenlose Virenprogramme benutze, finde ich den Trojaner zwar, aber in diesem Moment
            kommt wieder dieses Fenster von AntiVir und fragt mich was ich damit machen will. Dann drücke ich löschen
            und das Virenprgramm sucht normal weiter, ohne den Trojaner zu beachten. Wer kann mir sagen wie ich diesen
            Trojaner löschen kann? Wo er ist weiß ich ja schon. Vielen Dank im Voraus Pedro
        "	Es wird bei einem BIOS-Update ein Fehler gemeldet.	contradiction
Bodentiefe Fenster in der nordwestlichen Ecke der Lobby auf Höhe der West Street waren geborsten.	Erstaunlicherweise zerbrach kein einziges Fenster im gesamten Gebäude.	contradiction
