text	label
Die Lage hat sich deutlich verschärft. Der Corona Virus breitet sich im Süden (Baden-Württemberg) schlagartig aus, es wird gezwungen ab morgen 29.02.2020 ab 8:00 Uhr ist Mundschutzpflicht im Raum Göppingen und Esslingen. Die Zahl der Infizierten in Esslingen und Göppingen wird auf über 10.000 geschätzt. Es wird empfohlen zuhause zu bleiben und nicht mehr zur Arbeit zu gehen. In Plochingen und Esslingen gibt es bereits 8 Todesfälle.	fake
Eine Pflicht zum Mundschutz gibt es nicht. Die Angaben zu Infizierten und Toten sind falsch. Und es muss auch keiner zuhause bleiben. In Göppingen, Esslingen und Plochingen darf weiter gearbeitet werden.	real
Keiner braucht mehr Angst zu haben wegen den Corona Virus. Es gibt MMS und Chlordioxid. Viele nehmen es schon seit Jahren oder Monaten.	fake
Zuverlässiges Mittel gegen Corona Virus, sowie alle Viren, Bakterien, Parasiten und Würmer: Chlordioxid!	fake
Tatsächlich ist das Einnehmen von Chlordioxid – und das gegen viele Krankheiten empfohlene Mittel MMS – nicht nur unsinnig, sondern stark gesundheitsschädlich.	real
Lasst Euch Bitte nicht in Angst versetzen beim Thema Coronavirus:	fake
Tatsächlich ist das Einnehmen von Chlordioxid – und das gegen viele Krankheiten empfohlene Mittel MMS – nicht nur unsinnig, sondern stark gesundheitsschädlich.	real
MMS und CDL, also Chlordioxid vernichtet den Virus!!! Leider kämpft die Pharmaindustrie schon lange gegen dieses einfache und funktionierende Mittel. Ich selber habe Erfahrungen damit gemacht bei Grippeviren , es hilft sofort und hat keine Nebenwirkungen, wenn es richtig angewendet wird. [...] das ist kein Hokuspokus	fake
Tatsächlich ist das Einnehmen von Chlordioxid – und das gegen viele Krankheiten empfohlene Mittel MMS – nicht nur unsinnig, sondern stark gesundheitsschädlich.	real
Haben sich 42 Menschen in einem Club in Binsfeld bei Bitburg mit dem Coronaerreger Covid 19 infiziert? 	fake
„Der Corona Virus, bevor er die Lunge erreicht, bleibt das Virus für 4 Tage in der Kehle, das ist die Zeit, in der die Person anfängt zu husten und Schmerzen im Hals anfangen. Wenn sie viel Wasser nimmt und mit warmen Wasser, Salz oder Essig Gargarejo macht, wird der Virus eliminiert.	fake
CORONAVIRUS IN ITALIEN KEINER IST GESTORBEN-DIREKTOR VON KRANKENHAUS BESTÄTIGT DAS	fake
Ein Doktor behauptet auf Facebook, dass Vitamin C der Grund sei, warum bei Chinesen die Neuinfektionen zurückgehen.	fake
Mediziner der Uni Wien haben herausgefunden, dass Ibuprofen eine Corona-Lungenerkrankung verschlimmert.	fake
Das Virus ist nicht hitzebeständig und stirbt bei einer Temperatur von 26 bis 27 Grad. 	fake
Das Virus ist so groß, dass jede normale Maske es filtern kann.	fake
Die Inkubationszeit kann bis zu 20 Tage betragen, bevor die Symptome von Covid-19 sichtbar werden.	fake
Alle 15 Minuten Wasser zu trinken hilft, das Virus durch die Speiseröhre in den Magen zu befördern.	fake
Ronaldo lässt seine Hotels zu Kliniken umbauen	fake
Alle Aldi-Filialen bald dicht	fake
Atem anhalten als Selbsttest	fake
Rauchen hilft gegen Corona	fake
Sagte ein Twitter-User die Corona-Krise schon 2013 voraus?	fake
Schwimmen tötet das Virus	fake
Alle 15 Minuten trinken, Alkohol	fake
Coronavirus in Großaufnahme? Das ist ein Käfer!	fake
Ein Foto von Särgen zeigt die Situation in Italien durch das Coronavirus	fake
Es wurde ein „Geheimplan“ der Regierung von 2012 entdeckt, der die aktuelle Coronavirus-Pandemie vorhersagte	fake
Ibuprofen verschlimmert die Krankheit oder beschleunigt die Ausbreitung des Coronavirus	fake
Luft anhalten funktioniert als Selbsttest, Wasser trinken hilft gegen eine Infektion und Fibrose tritt nach nur wenigen Tagen auf (Whatsapp-Kettenbrief)	fake
Das neuartige Coronavirus ist schon lange bekannt, weil der Name auf Desinfektionsmitteln steht	fake
Ein Video zeigt eine Aldi-Filiale, die von einer Menschenmasse wegen des Coronavirus gestürmt wird	fake
Das Coronavirus gefährdet Haustiere stärker als Menschen	fake
WHO hat Hinweise, dass Coronavirus über Lebensmittel übertragen wird	fake
Afrikanische Migranten werden eine Coronavirus-Epidemie in Deutschland auslösen	fake
Chinesische Behörden fordern, Haustiere zu schlachten 	fake
Die Einnahme von Chlordioxid hilft gegen das neuartige Coronavirus	fake
5G ist Schuld an Todesfällen durch das neuartige Coronavirus	fake
Bill Gates hat ein Patent auf das neuartige Coronavirus und sagte einen Ausbruch mit 65 Millionen Toten vorher	fake
Das neuartige Coronavirus ist gefährlicher als das alte SARS-Virus, es handelt sich um eine Pandemie, Ärzte können Betroffenen nicht helfen und haben schon Mitte Januar empfohlen, Wuhan abzuriegeln	fake
Das neuartige Coronavirus ist auf einem Markt mit exotischen Tieren in Wuhan ausgebrochen	fake
Sonnenbaden hilft - Das Virus ist nicht hitzebeständig	fake
Alle 15 Minuten Wasser zu trinken, tötet das Virus	fake
Institutionen und Banken, wie die Sparkasse, brauchen aufgrund der Coronakrise persönliche Daten.	fake
Das Coronavirus sei eine Erfindung, um die gesundheitlichen Folgen des Mobilfunkstandards 5G zu vertuschen.	fake
Corona-Tote sind Opfer des Mobilfunkstandards 5G	fake
Arzt Wolfgang Wodarg: Maßnahmen gegen das Virus sind Panikmache und Geldmacherei	fake
Zwiebeln saugen Corona aus der Luft	fake
40.000 US-Soldaten besetzen Europa	fake
MMS-Wundermittel hilft gegen Corona	fake
ine chinesische Studie habe die Wirksamkeit von Chlordioxid-Lösungen gegen das Coronavirus belegt. 	fake
Wer zehn Sekunden die Luft anhalten kann, ohne zu husten oder ein Gefühl der Enge in der Brust zu verspüren, ist nicht infiziert.	fake
Luftanhalten als Schnelltest bei möglicher Infektion	fake
Coronaviren sind nicht neu	fake
Supermärkte sprechen sich ab und schließen gleichzeitig	fake
Ibuprofen verschlimmert Corona-Infektion	fake
Ibuprofen erhöhe die Anfälligkeit für das Coronavirus und verschlimmere den Krankheitsverlauf.	fake
Das Coronavirus ist im Labor gezüchtet worden	fake
Das Coronavirus sei im Labor entstanden, um als Biowaffe gezielt eingesetzt zu werden. 	fake
Verschwörungstheorien gehen davon aus, dass das Virus in die Welt gesetzt wurde, um Geld mit Medikamenten zu verdienen.	fake
"Psychothriller ""The Eyes of Darkness"" hat Corona vorhergesehen"	fake
"Der Psychothriller ""The Eyes of Darkness"" von Dean Koontz habe schon 1981 eine Lungenkrankheit vorhergesehen, die um das Jahr 2020 den gesamten Globus befallen werde."	fake
Obdachlosenzentrum Gruft in Wien geschlossen.	fake
Kaltes Wetter und Schnee können das neue Coronavirus töten	fake
Ein heißes Bad zu nehmen, verhindert die neue Coronavirus-Krankheit	fake
Das neue Coronavirus kann durch Mückenstiche übertragen werden.	fake
Händetrockner sind wirksam bei der Abtötung des neuen Coronavirus	fake
 UV-Desinfektionslampe kann das neue Coronavirus abtöten	fake
Thermoscanner sind effektiv bei der Erkennung von Personen, die mit dem neuen Coronavirus infiziert sind	fake
Sprühen von Alkohol oder Chlor über Ihren ganzen Körper kann das neue Coronavirus töten	fake
Impfstoffe gegen Lungenentzündung schützen vor dem neuen Coronavirus	fake
regelmäßiges Spülen der Nase mit Kochsalzlösung kann dazu beitragen, eine Infektion mit dem neuen Coronavirus zu verhindern	fake
Essen von Knoblauch hilft, eine Infektion mit dem neuen Coronavirus zu verhindern	fake
Antibiotika sind wirksam bei der Vorbeugung und Behandlung des neuen Coronavirus	fake
Darin hatte es geheißen, die Bundesregierung werde bald weitere „massive Einschränkungen“ des öffentlichen Lebens ankündigen	fake
Da gibt es sehr stichhaltige Hinweise, dass Ibuprofen die Vermehrung des Virus beschleunigt	fake
Arbeits- und Schulfrei durch Coronavirus ab Dienstag den 03.03.2020 für alle Bürger und Bürgerinnen in Deutschland!	fake
In dieser wird behauptet, die Universitätsklinik in Wien hätte in Studien herausgefunden, dass die Einnahme des Schmerzmittels Ibuprofen die Verbreitung des Coronvirus beschleunigt.	fake
Im Schutze der Corona wurde das Volk wieder verarscht und keiner hat es gemerkt.	fake
So heißt es in einem Beitrag, die wahre Ursache für die Pandemie sei der neue Mobilfunkstandard 5G.	fake
"Coronavirus sei gezielt als ""Biowaffe"" eingesetzt worden."	fake
Der Erreger sei über Ware, die aus China an eine Firma in Kaiserslautern geliefert wurde, eingeschleppt worden.	fake
Corona-Fall in Kaiserslautern	fake
Einem Gerücht zufolge sollen Zwiebeln bei der Bekämpfung von Sars-CoV-2 helfen. Denn sie sollen die Coronaviren wie eine Art Magnet aus der Luft herausziehen.	fake
Influenza ist gefährlicher als Corona	fake
Grüne gibt ernsthaft AfD Schuld an Corona-Pandemie!	fake
Papst und zwei Assistenten haben sich mit Corona infiziert.	fake
in Vitamin-D-Mangel mache Menschen anfälliger für das neuartige Coronavirus, die Ausbreitung von Corona kann daher mit der Gabe von Vitamin D bekämpft werden.	fake
Vitamin C kann helfen, Corona zu heilen.	fake
zwei Corona-Infizierte in Weiden	fake
Die Astrid-Lindgren Grundschule hat wegen des Coronavirus geschlossen. 	fake
"Medien und Regierung würden wichtige Informationen zum Coronavirus zurückhalten, die ""Coronavirus-Pandemie"" ist weitaus schlimmer als berichtet."	fake
Corona-Symptom: juckender Hautausschlag mit roten Punkten, in der Mitte mit schwarzem Punkt, der sich verhärtet und stark juckt	fake
Corona-Infektion in Passau	fake
Fallen die Menschen in China einfach auf der Straße um	fake
Das Virus wurde in Laboren entwickelt (und Bill Gates profitiert davon)	fake
Das Virus wurde als Kampfstoff im Hochsicherheitslabor in Wuhan entwickelt	fake
Grundschulen in Starnberg wurden wegen des Virus geschlossen	fake
